Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Priyanka Chopra Jonas,priyankachopra,9.51,79.9m,1.3m,3.6m,1.61%,India,Arts & EntertainmentMovies
Shraddha Kapoor,shraddhakapoor,9.46,73.3m,1.1m,1.3m,1.48%,India,Arts & EntertainmentMovies
Neha Kakkar,nehakakkar,9.34,70.3m,609k,2m,0.87%,Mumbai,Arts & EntertainmentMovies
Deepika Padukone,deepikapadukone,9.45,67.7m,1m,893.4k,1.55%,India,Arts & EntertainmentMovies
Alia Bhatt,aliaabhatt,9.99,66.7m,3.2m,4.8m,4.77%,India,Arts & EntertainmentMovies
Katrina Kaif,katrinakaif,9.75,65.4m,2.2m,4.7m,3.41%,India,Arts & EntertainmentMovies
Akshay Kumar,akshaykumar,9.48,62.6m,1.2m,2m,1.85%,India,Arts & EntertainmentMovies
Jacqueline Fernandez,jacquelinef143,9.31,61.9m,502.2k,752.9k,0.82%,India,Arts & EntertainmentMovies
Anushka Sharma,anushkasharma,9.57,59.2m,1.5m,2.8m,2.57%,Delhi,Arts & EntertainmentMovies
Sunny Leone,sunnyleone,9.22,53.1m,153.2k,711.1k,0.29%,India,Arts & EntertainmentMovies
Salman Khan,beingsalmankhan,9.3,52.8m,476.2k,2.6m,0.91%,India,Arts & EntertainmentMovies
Urvashi Rautela,urvashirautela,9.23,52.8m,175.5k,542.5k,0.34%,India,Arts & EntertainmentMovies
Disha Patani,dishapatani,9.47,51.8m,1.1m,1.5m,2.22%,India,Arts & EntertainmentMovies
Kriti Sanon,kritisanon,9.41,49.5m,897.3k,1.1m,1.82%,India,Arts & EntertainmentMovies
Hrithik Roshan,hrithikroshan,9.61,43.3m,1.7m,1.6m,3.91%,Mumbai,Arts & EntertainmentMovies
Jannat Zubair Rahmani,jannatzubair29,9.4,43.1m,840k,1.5m,1.96%,India,Arts & EntertainmentLifestyle
Kapil Sharma,kapilsharma,9.31,41.8m,485.6k,2m,1.17%,India,Arts & EntertainmentMovies
Nora Fatehi,norafatehi,9.47,40.9m,1.1m,2.5m,2.74%,India,Arts & EntertainmentDance
Sara Ali Khan,saraalikhan95,9.39,40.6m,816.9k,1.7m,2.02%,India,Arts & EntertainmentMovies
Ranveer Singh,ranveersingh,9.25,40m,257k,1.3m,0.64%,India,Arts & EntertainmentMovies
Anushka Sen,anushkasen0408,9.35,37.8m,659.1k,1.2m,1.76%,India,TelevisionArts & Entertainment
