Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
Kishu Jain,retardchick,7.28,20000,785.0,22427.45,4.0,Rajasthan,Technology,Celebrity
Tia Bajpai,tiabajpai,9.03,4700000,41800.0,439736.0,0.89,India,Arts and Entertainment,Mega
Aamir Khan,_aamirkhan,9.25,3600000,267300.0,2811996.0,7.5,Mumbai,Arts and Entertainment,Mega
Funcho,funcho,9.24,2300000,223300.0,2349116.0,9.63,India,Arts and Entertainment,Mega
Upen Patel,upenpatelworld,8.83,2100000,31400.0,330328.0,1.49,India,Arts and Entertainment,Mega
Atharvaa,atharvaamurali,9.25,1900000,257100.0,2704692.0,13.3,Chennai,Arts and Entertainment,Mega
Anu Emmanuel,anuemmanuel,9.22,1800000,152500.0,1604300.0,8.55,India,Arts and Entertainment,Mega
Naveen Singh,bihariladka,9.21,1600000,119800.0,1260296.0,7.53,Bihar,Arts and Entertainment,Mega
Vaishnavi Chaitanya,vaishnavi_chaitanya_,9.23,1000000,184300.0,1938836.0,18.04,India,Arts and Entertainment,Mega
Komal Kharat,_komal_kharat_,9.2,1000000,72600.0,763752.0,7.17,Mumbai,Arts and Entertainment,Mega
Charansh,theindianidiot,8.87,900000,33400.0,351368.0,3.69,Delhi,Arts and Entertainment,Mega
??Jiya Khan??,jiyakhan2230,9.18,887600,48700.0,512324.0,5.56,Kolkata,Arts and Entertainment,Mega
PURI JAGAN,purijagannadh,9.01,656200,40400.0,425008.0,6.19,Hyderabad,Arts and Entertainment,Mega
Sumein Bhat,sumeinbhat,9.2,534500,54300.0,571236.0,10.21,Mumbai,Arts and Entertainment,Mega
DIIPA KHOSLA,diipakhosla,9.0,1800000,39900.0,419748.0,2.27,India,Lifestyle and Fashion,Mega
#meghana,rowdy__megha,8.83,574600,31500.0,331380.0,5.51,Chennai,Lifestyle and Fashion,Mega
Hebbar's Kitchen,hebbars.kitchen,7.68,3300000,1900.0,19988.0,0.06,India,Food and Drink,Mega
Technical Guruji,technicalguruji,9.21,2300000,90700.0,954164.0,3.92,India,Technology,Mega
