Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories,Influencer_Tier
Priyanka Chopra Jonas,priyankachopra,9.51,79900000,1300000,3600000,1.61,India,Arts and Entertainment,Celebrity
Shraddha Kapoor,shraddhakapoor,9.46,73300000,1100000,1300000,1.48,India,Arts and Entertainment,Celebrity
Neha Kakkar,nehakakkar,9.34,70300000,609000,2000000,0.87,Mumbai,Arts and Entertainment,Celebrity
Deepika Padukone,deepikapadukone,9.45,67700000,1000000,893400,1.55,India,Arts and Entertainment,Celebrity
Alia Bhatt,aliaabhatt,9.99,66700000,3200000,4800000,4.77,India,Arts and Entertainment,Celebrity
Katrina Kaif,katrinakaif,9.75,65400000,2200000,4700000,3.41,India,Arts and Entertainment,Celebrity
Akshay Kumar,akshaykumar,9.48,62600000,1200000,2000000,1.85,India,Arts and Entertainment,Celebrity
Jacqueline Fernandez,jacquelinef143,9.31,61900000,502200,752900,0.82,India,Arts and Entertainment,Celebrity
Anushka Sharma,anushkasharma,9.57,59200000,1500000,2800000,2.57,Delhi,Arts and Entertainment,Celebrity
Sunny Leone,sunnyleone,9.22,53100000,153200,711100,0.29,India,Arts and Entertainment,Celebrity
Salman Khan,beingsalmankhan,9.3,52800000,476200,2600000,0.91,India,Arts and Entertainment,Celebrity
Urvashi Rautela,urvashirautela,9.23,52800000,175500,542500,0.34,India,Arts and Entertainment,Celebrity
Disha Patani,dishapatani,9.47,51800000,1100000,1500000,2.22,India,Arts and Entertainment,Celebrity
Kriti Sanon,kritisanon,9.41,49500000,897300,1100000,1.82,India,Arts and Entertainment,Celebrity
Hrithik Roshan,hrithikroshan,9.61,43300000,1700000,1600000,3.91,Mumbai,Arts and Entertainment,Celebrity
Jannat Zubair Rahmani,jannatzubair29,9.4,43100000,840000,1500000,1.96,India,Arts and Entertainment,Celebrity
Kapil Sharma,kapilsharma,9.31,41800000,485600,2000000,1.17,India,Arts and Entertainment,Celebrity
Nora Fatehi,norafatehi,9.47,40900000,1100000,2500000,2.74,India,Arts and Entertainment,Celebrity
Sara Ali Khan,saraalikhan95,9.39,40600000,816900,1700000,2.02,India,Arts and Entertainment,Celebrity
Ranveer Singh,ranveersingh,9.25,40000000,257000,1300000,0.64,India,Arts and Entertainment,Celebrity
Anushka Sen,anushkasen0408,9.35,37800000,659100,1200000,1.76,India,Arts and Entertainment,Celebrity
Parineeti Chopra,parineetichopra,9.26,36800000,303200,900000,0.83,Mumbai,Arts and Entertainment,Celebrity
Tiger Shroff,tigerjackieshroff,9.33,35300000,581700,1100000,1.65,India,Arts and Entertainment,Celebrity
Shahid Kapoor,shahidkapoor,9.36,35300000,709900,900000,2.02,India,Arts and Entertainment,Celebrity
Sonam Kapoor,sonamkapoor,9.24,32900000,211800,615300,0.65,Mumbai,Arts and Entertainment,Celebrity
Guru Randhawa,gururandhawa,9.24,32799999,224600,761300,0.69,India,Arts and Entertainment,Celebrity
Avneet Kaur Official,avneetkaur_13,9.29,32100000,420700,1100000,1.32,India,Arts and Entertainment,Celebrity
Rashmika Mandanna,rashmika_mandanna,9.79,32100000,2400000,3700000,7.40,Bengaluru,Arts and Entertainment,Celebrity
Amitabh Bachchan,amitabhbachchan,9.24,30700000,232300,679300,0.76,India,Arts and Entertainment,Celebrity
Shah Rukh Khan,iamsrk,9.7,30000000,2000000,3400000,6.77,Mumbai,Arts and Entertainment,Celebrity
FAISAL SHAIKH,mr_faisu_07,9.29,27800000,399700,854300,1.46,India,Arts and Entertainment,Celebrity
Riyaz Aly,riyaz.14,9.29,27200000,424600,4600000,1.60,Mumbai,Arts and Entertainment,Celebrity
SHILPA SHETTY KUNDRA,theshilpashetty,9.22,25900000,144200,1300000,0.56,India,Arts and Entertainment,Celebrity
Kartik Aaryan,kartikaaryan,9.32,25300000,554700,1500000,2.20,India,Arts and Entertainment,Celebrity
Shreya Ghoshal,shreyaghoshal,9.24,24300000,243600,546700,1.01,Mumbai,Arts and Entertainment,Celebrity
Nidhhi Agerwal,nidhhiagerwal,9.31,24200000,519500,422400,2.15,India,Arts and Entertainment,Celebrity
Samantha Ruth Prabhu,samantharuthprabhuoffl,9.56,24100000,1500000,2100000,6.16,Hyderabad,Arts and Entertainment,Celebrity
Kiara Advani,kiaraaliaadvani,9.38,24000000,778100,1200000,3.25,India,Arts and Entertainment,Celebrity
Mouni Roy,imouniroy,9.24,23700000,238200,492000,1.01,India,Arts and Entertainment,Celebrity
